No,Istilah,Definisi
1500,tertiarius,1. pengganti; 2. pejabat baru.
1501,test case,perkara yang kuat untuk dijadikan patokan.
1502,testificatio,pembuktian dengan keterangan saksi-saksi.
1503,testify,menyatakan dengan sumpah sebagai saksi.
1504,testimonia ponderanda sunt non numeranda,"kesaksian, yang dipercaya adalah bobot pembuktiannya bukan jumlahnya."
1505,testimonium,kesaksian.
1506,testimonium clause,"pernyataan terakhir dari masing-masing pihak yang berperkara, ditandatangani beserta saksi-saksi."
1507,testimonium de auditu,kesaksian karena mendengar dari orang lain.
1508,testimonium paupertatis,"kesaksian dari penguasa setempat bahwa seseorang tidak mampu membayar kewajiban tertentu, maka mohon dibebaskan."
1509,testimony,bukti yang dinyatakan oleh saksi di bawah sumpah.
1510,testis,saksi.
1511,testis unus testis nullus,"saksi satu orang, bukanlah saksi."
1512,third party beneficiary/pihak ketiga yang diuntungkan,"seseorang yang bukan merupakan pihak-pihak dalam suatu perjanjian, tetapi yang mendapat keuntungan atau kenikmatan dari isi perjanjian tersebut."
1513,tim pemeriksa (BPK),"terdiri dari penanggung jawab, pengendali teknis, ketua tim, dan anggota tim."
1514,time deposit/deposito berjangka,simpanan pada bank yang penarikannya hanya dapat dilakukan setelah jangka waktu yang dijanjikan atau setelah pemberitahuan sebelumnya; penarikan sebelum jatuh tempo dikenai denda; simpanan di bank yang penarikannya hanya dapat dilakukan pada waktu tertentu menurut perjanjian antara penyimpan dengan bank yang bersangkutan.
1515,tindak lanjut hasil pemeriksaan,tindakan yang dilakukan oleh pihak terperiksa dan atau aparat Kejaksaan/Kepolisian dalam rangka melaksanakan rekomendasi/saran tindak yang dimuat dalam Hasil Pemeriksaan BPK.
1516,tindak pidana korupsi (TPK),"tindakan yang dilakukan oleh setiap orang yang melawan hukum bertujuan menguntungkan diri sendiri atau orang lain atau suatu korporasi, menyalahgunakan wewenang, kesempatan, atau sarana yang ada padanya karena jabatan atau kedudukan yang dapat merugikan keuangan negara atau perekonomian negara [vide:UU No. 31/1999]."
1517,title,sertifikat tanah.
1518,title/titel/alas hak,dasar atau landasan hukum untuk dapat menghaki suatu benda; dasar kepemilikan suatu hak.
1519,torrens system,peraturan pendaftaran sertifikat tanah.
1520,tort,1. kelalaian terhadap hukum; 2. merugikan pihak lain.
1521,tortfeasor,"orang yang melakukan pelanggaran, misalnya: lalu lintas."
1522,TPKKN,istilah yang digunakan dalam juknis pemeriksaan investigatif untuk perbuatan melawan hukum yang berindikasi tindak pidana korupsi yang mengakibatkan kerugian negara/daerah.
1523,TPPI,tim persiapan pemeriksaan investigatif dalam tahapan perencanaan pemeriksaan investigatif yang meliputi pra-pemeriksaan investigatif dan persiapan pemeriksaan investigatif.
1524,trade barrier/hambatan perdagangan,"berbagai macam bentuk dan jenis hambatan perdagangan yang mengakibatkan terhambatnya kelancaran arus ekspor-impor barang, antara lain berupa tarif, kuota, subsidi, hambatan teknis."
1525,trade mark,merek dagang.
1526,trade mark/merek dagang,tanda atau simbol yang diperoleh pengusaha atau pedagang dan disahkan berdasarkan pencatatan secara hukum oleh negara dan dipakai oleh pengusaha atau pedagang untuk membedakan produknya dari produk serupa lainnya yang diproduksi atau dijual pesaingnya.
1527,trade secret,rahasia perusahaan.
1528,transaksi (transaction),"perjanjian antara dua pihak atau lebih yang menimbulkan hak dan kewajiban, misalnya jual-beli, dan sewa-menyewa."
1529,transfer price/harga pengalihan,"metode penetapan harga yang biasanya dilakukan oleh perusahaan-perusahaan yang tergabung dalam satu kelompok antara perusahaan induk dengan perusahaan anak, untuk suatu produk atau komponen atau jasa yang dialihkan atau dikirimkan di antara sesama mereka."
1530,transferable letter of credit/surat kredit yang dapat dipindahkan,surat kredit yang mencantumkan syarat dapat dipindahkan sehingga penikmat pertama dapat memindahkan hak dan tanggung jawabnya untuk sebagian atau seluruhnya kepada penikmat lain dan dapat pula mengurangi jumlah serta memperpendek jangka waktu kredit.
1531,transnational corporation/perusahaan transnasional,"perusahaan berbadan hukum suatu negara yang beroperasi di banyak negara, mempunyai kekayaan dan pendapatan yang sangat besar, modalnya dapat dimiliki oleh berbagai warga negara, namun keseluruhan perusahaan tersebut terikat sebagai satu kesatuan ekonomi dan manajemen."
1532,traveler’s cheque/cek penjualan/cek wisata,cek yang diterbitkan oleh bank atau lembaga keuangan sejenis yang berfungsi sebagai alat pembayaran seperti uang kontan bagi orang yang membelinya; cek semacam ini mensyaratkan bahwa si pembeli harus menandatanganinya pada saat ia membelinya dan pada saat ia menggunakannya; biasanya digunakan oleh orang yang bepergian.
1533,treasury bill/surat perbendaharaan negara,"surat utang jangka pendek yang diterbitkan oleh negara dan dijual atas dasar diskonto, biasanya berjangka waktu 90 hari, 180 hari, 270 hari, dan maksimal 1 tahun."
1534,trust ex aleficio,menyalahgunakan wewenang yang diserahkan kepadanya.
1535,trust in invitum,kewenangan yang timbul karena hukum yang berlaku.
1536,tugas pembantuan,penugasan dari Pemerintah kepada daerah dan/atau desa atau sebutan lain dengan kewajiban melaporkan dan mempertanggungjawabkan pelaksanaannya kepada yang menugaskan.
1537,tuntutan ganti rugi (TGR),"tuntutan terhadap setiap pejabat negara dan pegawai negeri bukan bendahara yang melanggar hukum atau melalaikan kewajibannya, baik langsung atau tidak langsung yang merugikan keuangan negara."
1538,tuntutan perbendaharaan (TP),tuntutan terhadap setiap bendahara yang secara pribadi bertanggung jawab atas kerugian keuangan negara yang berada dalam pengurusannya sesuai dengan batas waktu yang ditetapkan oleh BPK.
1539,turn key contract/kontrak putar kunci,suatu perjanjian mengenai pembangunan suatu proyek dalam hal pihak kontraktor setuju untuk membangun proyek tersebut secara lengkap sampai selesai termasuk pemasangan semua perlengkapannya sehingga proyek tersebut siap dioperasikan atau dihuni.
1540,two innocent persons principles,"asas ajaran bila dua orang harus menderita kerugian, yang menjadi biang keladi yang harus menanggungnya."
1541,two witnesses rule,"asas, bahwa saksi yang sah sedikitnya dua orang."
1542,tying contract/kontrak pengaitan,"1. suatu perjanjian yang biasanya dilakukan antara penjual dan pembeli dalam hal mana pihak penjual hanya akan menjual suatu produk tertentu apabila pembeli juga akan membeli produk lain yang dikaitkan dengan produk pertama tersebut; 2. kontrak yang banyak mengandung kekecualian, pada zaman sekarang sudah tidak berlaku lagi."
1543,uang - keuangan/finance,"1. upaya untuk menghimpun dana guna mendirikan usaha baru atau memperluas usaha, misalnya dengan menjual saham, obligasi, atau surat berharga, atau komposisi di antara ketiganya; 2. pengetahuan teori dan praktik mengenai keuangan yang mencakup uang, kredit, perbankan, sekuritas, investasi, valuta asing, penjaminan emisi, kepialangan, trust, dan sebagainya; 3. penghimpunan dana yang dilakukan oleh pemerintah melalui penarikan pajak atau penerbitan obligasi, serta administrasi pendapatan dan belanja negara; kegiatan tersebut dikenal dengan istilah “keuangan negara” (public finance)."
1544,uang barang/commodity money,uang dengan nilai nominal yang sama dengan nilai barang-barang yang ditetapkan sebagai standar nilai dan dapat ditukarkan dengan barang-barang standar tersebut atas dasar perbandingan tertentu.
1545,uang beredar/money supply,kewajiban moneter suatu sistem moneter terhadap masyarakat; di Indonesia uang tersebut terdiri atas jumlah uang kartal yang berada di luar sistem moneter dan saldo giro atas nama pihak-pihak bukan anggota sistem moneter.
1546,uang fidusia/fiduciary money,mata uang yang tidak sepenuhnya dijamin oleh logam mulia.
1547,uang kartal/real money,"uang kertas, uang logam, komemoratif koin, dan uang kertas komemoratif yang dikeluarkan oleh bank sentral yang menjadi alat pembayaran yang sah di suatu negara."
1548,uang kertas bank/bank note,uang kertas yang dikeluarkan oleh bank dan merupakan alat pembayaran yang sah di satu negara; di Indonesia dikeluarkan oleh Bank Indonesia.
1549,uang kertas emas/special drawing right/SDR,"aktiva moneter yang dipegang oleh negara Dana Moneter Intemasional (IMF) sebagai bagian dari cadangan internasional mereka; tidak seperti aktiva cadangan yang lain, seperti emas, SDR tidak memiliki bentuk nyata; SDR diciptakan oleh IMF sendiri, SDR dinilai berdasarkan lima mata uang asing, yaitu dolar Amerika, mark (Jerman), poundsterling (Inggris), franc (Prancis), dan yen (Jepang)."
1550,uang kertas tolak tukar/convertible paper money,uang kertas yang dapat ditukarkan dengan uang logam sesuai dengan nilai nominalnya.
1551,uang kertas/paper money,"warkat dengan nilai nominal tertentu yang berfungsi sebagai uang, seperti uang kertas pemerintah, uang kertas bank, dan cek."
1552,uang ketat/tight money,"kondisi ekonomi yang sulit untuk memperoleh kredit, biasanya disebabkan oleh kebijakan bank sentral yang membatasi uang beredar."
1553,uang kuasi/quasi money,"kewajiban sistem moneter dalam bentuk deposito berjangka, tabungan dalam rupiah dan saldo rekening valuta asing milik penduduk."
1554,uang lemah/soft money,1. uang kertas; 2. uang dengan nilai atau daya beli yang tidak mantap.
1555,uang logam/coin/metalic money,"mata uang yang terbuat dari bahan logam, seperti emas, perak, tembaga, almunium, perunggu, dan suasa, diterbitkan oleh pemerintah dan berlaku sebagai alat pembayaran yang sah; yang berhak menerbitkan uang (termasuk uang logam) di Indonesia adalah Bank Indonesia."
1556,uang lusuh/mutilated currency,kondisi uang yang tidak baik untuk diedarkan dan dapat ditarik dari peredaran.
1557,uang mahal/dear money,uang yang dapat dipinjam atau diperoleh dengan suku bunga tinggi.
1558,uang mati/dead money,uang yang hanya dapat dipinjamkan pada tingkat bunga yang tinggi.
1559,uang mengambang/floating money,"uang yang berada dalam bank yang kelebihan likuiditas, sementara peluang penggunaan yang dapat memberikan keuntungan bagi bank belum dapat ditentukan."
1560,uang menganggur/barren money/idle,"uang yang belum digunakan, seperti uang tunai yang tersimpan dalam peti atau kelebihan alat-alat likuid dalam suatu bank."
1561,uang mudah/easy money,"uang yang diperoleh pada tingkat suku bunga yang rendah atau diperoleh tanpa adanya kesulitan karena adanya ekspansi kredit di sektor perbankan; kebijakan uang mudah dapat membantu pertumbuhan ekonomi; namun, jika dilaksanakan dalam periode yang lama dapat menimbulkan adanya inflasi."
1562,uang muka/advance/down payment,"pembayaran uang kepada pihak lain yang belum memberikan prestasi atau memenuhi kewajiban, misalnya kepada kontraktor pada saat kontrak ditandatangani atau kepada penjual yang belum menyerahkan barangnya; pembayaran sebagian dan harga yang telah disepakati oleh pembeli kepada penjual yang merupakan tanda bahwa perjanjian jual beli yang diadakan telah mengikat."
1563,uang murah/cheap money,uang yang dapat dipinjam atau diperoleh dengan suku bunga yang rendah.
1564,uang panas/hot money,dana yang dikelola untuk tujuan spekulatif dan mendapatkan hasil yang tinggi dalam waktu yang singkat; dana tersebut akan berpindah mengikuti peminjam yang berani memberikan tingkat suku bunga yang tinggi; peminjam (misalnya bank) yang menggunakan dana ini harus berhati-hati karena dana tersebut dapat ditarik setiap saat jika pemilik dana mendapatkan tawaran dengan tingkat suku bunga yang lebih tinggi.
1565,uang pecahan/fractional money,"mata uang dalam suatu sistem moneter dengan nilai nominal lebih kecil daripada satu satuan hitung uang, misalnya sen di Indonesia, shilling di Inggris."
1566,uang standar/standard money,uang atau satuan uang yang merupakan standar suatu sistem moneter.
1567,uang tanda/token money,uang logam yang dengan undang-undang ditetapkan bernilai nominal lebih tinggi dan pada nilai bahannya.
1568,uang tunai khazanah/vault cash,uang tunai yang terdapat dalam khazanah yang tidak diperlukan untuk penggunaan seketika yang berfungsi sebagai cadangan; sisa dan uang tunai lain ditempatkan di dalam tempat uang dan laci uang di bawah penjagaan petugas kasir.
1569,uang/money,"segala sesuatu yang diterima secara umum sebagai alat pembayaran yang resmi dalam rangka memenuhi suatu kewajiban; secara umum, mempunyai tiga tujuan yang berbeda bergantung pada penggunaannya, yaitu sebagai alat tukar untuk pembayaran di antara konsumen, badan usaha dan pemerintah, sebagai satuan dasar untuk menilai daya beli atau nilai yang dibayarkan untuk memperoleh barang dan jasa, dan sebagai alat penyimpanan nilai untuk mengukur nilai ekonomis pendapatan pada masa sekarang terhadap pengeluaran pada masa yang akan datang; bentuk lain dari uang adalah komoditas uang (emas dan perak batangan dan uang logam, brightly coloured & shells, dan lain-lain), barter, perdagangan barang dan jasa tanpa pertukaran uang (monetary exchange) dewasa ini uang kertas hanya menampilkan sebagian kecil dari cadangan uang suatu negara, kira-kira 3/4 dari penawaran uang dilakukan dalam bentuk debit dan kredit saldo rekening giro di bank umum (uang giral)."
1570,UAPPA-W dekonsentrasi,unit akuntansi yang berada di Pemerintah Daerah Provinsi yang melakukan kegiatan penggabungan laporan keuangan dari seluruh SKPD yang mendapatkan alokasi dana dekonsentrasi di wilayah kerjanya.
1571,UAPPA-W tugas pembantuan,unit akuntansi yang berada di Pemerintah Daerah yang melakukan kegiatan penggabungan laporan keuangan dari seluruh SKPD yang mendapatkan alokasi dana tugas pembantuan di wilayah kerjanya.
1572,UAPPB-W dekonsentrasi,unit akuntansi yang berada di Pemerintah Daerah Provinsi yang melakukan kegiatan penggabungan laporan BMN dari SKPD yang mendapatkan alokasi dana dekonsentrasi di wilayah kerjanya.
1573,UAPPB-W tugas pembantuan,unit akuntansi yang berada di Pemerintah Daerah yang melakukan kegiatan penggabungan laporan BMN dari SKPD yang mendapatkan alokasi dana tugas pembantuan di wilayah kerjanya.
1574,uji petik pemeriksaan (sampling),"prosedur pengambilan sampel dari satu populasi pemeriksaan untuk menyimpulkan keadaan populasi yang terperiksa, misalnya, uji petik terhadap satu objek pemeriksaan."
1575,ultra vires/melampaui kewenangan,dalam hukum perusahaan berarti tindakan pengurusnya yang mengatasnamakan perseroan namun ia tidak mempunyai kewenangan untuk melakukan perbuatan tersebut; tindakan organ perseroan yang melebihi batas kewenangannya; tindakan perseroan yang melanggar ketentuan dalam anggaran dasarnya.
1576,unconscionable contract/kontrak tidak wajar,"suatu perjanjian yang berisi serangkaian ketentuan sedemikian rupa yang tidak akan pernah dibuat oleh para pihak apabila mereka berada dalam situasi dan kondisi normal, wajar dan sederajat."
1577,understaded ‘kurang saji’,penyajian saldo yang kurang dari seharusnya.
